net,trueh,level,num_dtrees,gamma,num_mincyclesize3,cyclesizes
g1-lg,1,1,2,large,0,4
g1-sg,1,1,2,small,0,4
g1-l1-c3,1,1,1,large,1,3
g2-l1-c33,2,1,1,large,2,33;33
g2-l1-c43,2,1,2,large,1,44;33
g2-l1-c44,2,1,4,large,0,44;44
g2-l1-c45,2,1,4,large,0,44;55
g2-l2-g33,2,2,2,large,2,34;34
g2-l2-g46,2,2,4,large,0,44;76
g2-l2-n04,2,2,3,large,0,50;64
g2-l2-n44,2,2,4,large,0,64;54
g2-l2-n46,2,2,4,large,0,76;44
g3-tc,3,3,6,large,2,4344;5644;4534
g3-ntc,3,3,4,large,1,3433;5400;7756
g3-l3-c54,3,3,6,large,0,5555;5500;6644
g4-l4-c34,4,4,10,large,1,45445555;44005500;67566644;34453434
g4-lg,4,4,8,large,2,34334444;54006500;77567644;34453434
g4-sg,4,4,8,small,2,34334444;54006500;77567644;34453434
