source,target,type,weight
i6,chimp,edge,120.0
H2,denisovan,edge,0.16741257906671442
i7,H2,admix,0.48
i8,H2,admix,0.52
Ne0,neanderthal_west,edge,0.007743593305090632
i1,neanderthal_east,edge,0.03889158969372873
i1,H3,admix,0.06
Ne0,i1,edge,0.04142648795055212
i2,Ne0,edge,0.7325352977286679
NeAMH,i2,edge,0.2645181092694905
i9,H4,admix,0.32
i10,H3,admix,0.94
na0,non_africa_west,edge,0.027641002685765442
na0,non_africa_east,edge,0.06692406692406692
H4,na0,edge,0.03219589615689831
i11,H4,admix,0.6799999999999999
a0,africa_east,edge,0.036791001105355554
AMH,a0,edge,0.08628946434905994
AMH,africa_west,edge,0.07087851642307087
H1,AMH,edge,0.012022268289721602
i12,H1,admix,0.81
NeAMH,i3,edge,0.01365011984045256
i4,NeAMH,edge,0.05199568250136372
i5,i4,edge,0.0780058733834077
i13,H1,admix,0.19
i6,i5,edge,2.8980064381318122
i4,i7,edge,0.6535386084258265
i2,i8,edge,0.5905484885788538
H3,i9,edge,0.054245283018867926
i3,i10,edge,2.233490566037736
a0,i11,edge,0.17598675321011237
i3,i12,edge,0.0056727478763732185
i5,i13,edge,0.9895806534602521
