"net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","avgngraphsperrep","prop_max_ndisp_eq_2"
"g1-l1-c3","0",1,"1","1","1","large",0,0,1,5,0
"g1-l1-c3","1",1,"1","1","1","large",0,0,1,5,0
"g1-l1-c3","2",1,"1","1","1","large",0,0,0.88,5,0.06
"g1-lg","0",1,"1","2","0","large",0,0,1,5,0
"g1-lg","1",1,"1","2","0","large",0.99,0.99,1,5,0.99
"g1-lg","2",1,"1","2","0","large",0,0,0.94,5,0.73
"g1-sg","0",1,"1","2","0","small",0,0,0,5,0
"g1-sg","1",1,"1","2","0","small",0.24,0.24,0.32,5,0.24
"g1-sg","2",1,"1","2","0","small",0,0,0.35,5,0.2
"g2-l1-c33","0",2,"1","1","2","large",0,0,1,5,0
"g2-l1-c33","1",2,"1","1","2","large",0,0,1,5,0
"g2-l1-c33","2",2,"1","1","2","large",0,0,0.88,5,0.06
"g2-l1-c43","0",2,"1","2","1","large",0,0,1,5,0
"g2-l1-c43","1",2,"1","2","1","large",0,0,1,5,0.98
"g2-l1-c43","2",2,"1","2","1","large",0,0,0.96,5,0.67
"g2-l1-c44","0",2,"1","4","0","large",0,0,1,5,0
"g2-l1-c44","1",2,"1","4","0","large",0,0,1,5,0.83
"g2-l1-c44","2",2,"1","4","0","large",0.02,0.02,0.79,5,0.54
"g2-l1-c45","0",2,"1","4","0","large",0,0,1,5,0
"g2-l1-c45","1",2,"1","4","0","large",0,0,1,5,0
"g2-l1-c45","2",2,"1","4","0","large",0.85,0.85,0.99,5,0.94
"g2-l2-g33","0",2,"2","2","2","large",0,0,1,5,0
"g2-l2-g33","1",2,"2","2","2","large",0,0,1,5,0.88
"g2-l2-g33","2",2,"2","2","2","large",0,0,0.91,5,0.61
"g2-l2-g46","0",2,"2","4","0","large",0,0,0,5,0
"g2-l2-g46","1",2,"2","4","0","large",0,0,1,5,0
"g2-l2-g46","2",2,"2","4","0","large",0.99,0.99,1,5,0.99
"g2-l2-n04","0",2,"2","3","0","large",0,0,0,5,0
"g2-l2-n04","1",2,"2","3","0","large",0,0,0,5,0
"g2-l2-n04","2",2,"2","3","0","large",0,0,0.5,5,0
"g2-l2-n44","0",2,"2","4","0","large",0,0,0.99,5,0
"g2-l2-n44","1",2,"2","4","0","large",0,0,0.91,5,0.39
"g2-l2-n44","2",2,"2","4","0","large",0.26,0.26,0.47,5,0.36
"g2-l2-n46","0",2,"2","4","0","large",0,0,0,5,0
"g2-l2-n46","1",2,"2","4","0","large",0,0,1,5,1
"g2-l2-n46","2",2,"2","4","0","large",0.9,0.9,0.99,5,0.99
"g3-l3-c54","0",3,"3","6","0","large",0,0,0,5,0
"g3-l3-c54","1",3,"3","6","0","large",0,0,0,5,0
"g3-l3-c54","3",3,"3","6","0","large",0,0,0.42,5,1
"g3-ntc","0",3,"3","4","1","large",0,0,0,5,0
"g3-ntc","1",3,"3","4","1","large",0,0,1,5,1
"g3-ntc","3",3,"3","4","1","large",0,0,0.48,5,0.27
"g3-tc","0",3,"3","6","2","large",0,0,0,5,0
"g3-tc","1",3,"3","6","2","large",0,0,0,5,0.21
"g3-tc","3",3,"3","6","2","large",0,0,0.32,5,0.84
"g4-l4-c34","0",4,"4","10","1","large",0,0,0,5,0
"g4-l4-c34","1",4,"4","10","1","large",0,0,0,5,0
"g4-l4-c34","4",4,"4","10","1","large",0,0,0.39,5,0.89
"g4-lg","0",4,"4","8","2","large",0,0,0,5,0
"g4-lg","1",4,"4","8","2","large",0,0,0,5,0
"g4-lg","4",4,"4","8","2","large",0,0,0.25,5,0.82
"g4-sg","0",4,"4","8","2","small",0,0,1,5,0
"g4-sg","1",4,"4","8","2","small",0,0,1,5,0
"g4-sg","4",4,"4","8","2","small",0,0,0.9,5,0.77
